date,neutral,season,team1,team2,score1,score2,open1,close1,open2,close2,oneH2,twoH2,moneyline1,moneyline2
1201,True,2007,CentralMichigan,MiamiOhio,35,10,3,63,3,64,pk,28.5,-155,135
1201,True,2007,Tulsa,CentralFlorida,25,44,75,6,73.5,7.5,38,3,235,-275
1201,True,2007,VirginiaTech,BostonCollege,30,16,4,46,4,48,3.5,24.5,-205,175
1201,True,2007,TennesseeU,LSU,14,21,61,7.5,58,7,27.5,6.5,235,-275
1201,True,2007,Oklahoma,Missouri,38,17,3,68,3,65,3,31.5,-150,130
1220,True,2007,Navy,Utah,32,35,68,10,63.5,9,29,6,NL,NL
1221,True,2007,FloridaAtlantic,Memphis,44,27,3,68,3.5,67.5,35,pk,-170,150
1222,True,2007,SoMississippi,CincinnatiU,21,31,56,11,54,11,27,7,450,-550
1222,True,2007,Nevada,NewMexico,0,23,63,3.5,56.5,2,pk,27,105,-125
1222,True,2007,UCLA,BYU,16,17,47,4,47,5.5,22,3,175,-205
1223,True,2007,EastCarolina,BoiseState,41,38,72,12.5,66,11,31.5,7,355,-425
1226,True,2007,CentralMichigan,Purdue,48,51,74,10,70.5,8.5,35,3,285,-335
1227,True,2007,Texas,ArizonaState,52,34,1.5,62.5,1.5,62,30,2,-130,110
1228,True,2007,MichiganState,BostonCollege,21,24,58,2.5,56.5,5,28,2,175,-205
1228,True,2007,TCU,HoustonU,20,13,3.5,61.5,6.5,57,6,28,-250,210
1228,True,2007,Maryland,OregonState,14,21,49,3.5,47,4,24,3,155,-175
1229,True,2007,Connecticut,WakeForest,10,24,50,3.5,47,2,21,3,115,-135
1229,True,2007,CentralFlorida,MississippiSt,3,10,3,60.5,3,52.5,2.5,21,-145,125
1229,True,2007,PennState,TexasA&M,24,17,6,51.5,5,52,3.5,24.5,-205,175
1230,True,2007,Colorado,Alabama,24,30,51,3.5,52.5,4,1,27,155,-175
1231,True,2007,AirForce,California,36,42,53.5,6,57,4.5,29,7,160,-190
1231,True,2007,Oregon,SouthFlorida,56,21,52.5,7,52,5.5,27.5,2.5,200,-240
1231,True,2007,FresnoState,GeorgiaTech,40,28,55.5,5,55,5,28,3.5,185,-215
1231,True,2007,FloridaState,Kentucky,28,35,56.5,1,56.5,7,28,4.5,250,-300
1231,True,2007,Indiana,OklahomaState,33,49,68,4,69.5,6.5,33,3,230,-270
1231,True,2007,Auburn,Clemson,23,20,49,3,44,2,21,pk,110,-130
101,True,2007,Wisconsin,TennesseeU,17,21,61,3.5,56.5,2.5,28.5,pk,120,-140
101,True,2007,Arkansas,Missouri,7,38,71,4,68.5,4,31.5,2.5,160,-190
101,True,2007,Michigan,Florida,41,35,62.5,11,60.5,10,31.5,10,360,-430
101,True,2007,TexasTech,Virginia,31,28,5.5,60.5,6.5,58.5,5.5,28,-245,205
101,True,2007,Illinois,USC,17,49,49.5,13,48,13,23,7,400,-500
101,True,2007,Hawaii,Georgia,10,41,69.5,8,68,8,31,7,290,-350
102,True,2007,WestVirginia,Oklahoma,48,28,65,6,61,7.5,30,6.5,255,-305
103,True,2007,Kansas,VirginiaTech,24,21,54,pk,50.5,3,24.5,5,135,-155
105,True,2007,BallState,Rutgers,30,52,59,9,61,12,31,6,380,-480
106,True,2007,BowlingGreen,Tulsa,7,63,75,4,76,6,34,0.5,175,-205
107,True,2007,OhioState,LSU,24,38,51.5,3,46.5,3.5,24,1,145,-165
1206,True,2008,EastCarolina,Tulsa,27,24,66,13,67,12,31.5,7,325,-400
1206,True,2008,BostonCollege,VirginiaTech,12,30,39.5,pk,39,1,1.5,19.5,-120,100
1206,True,2008,Alabama,Florida,20,31,51,10,54.5,9.5,27.5,3.5,280,-340
1206,True,2008,Missouri,Oklahoma,21,62,80,15,79,16.5,34,7.5,470,-640
1220,True,2008,Navy,WakeForest,19,29,41,3,44.5,3,22.5,3,140,-160
1220,True,2008,FresnoState,ColoradoState,35,40,3,60,2,61,0.5,31,-125,105
1220,True,2008,Memphis,SouthFlorida,14,41,51,13,57,10.5,28,3,315,-380
1220,True,2008,BYU,ArizonaU,21,31,62,3.5,62,3,29.5,pk,135,-155
1221,True,2008,Troy,SoMississippi,27,30,3.5,55,4.5,55,2,28,-190,165
1223,True,2008,TCU,BoiseState,17,16,2,44,3,46,6,23.5,-160,140
1224,True,2008,NotreDame,Hawaii,49,21,48,1.5,2.5,49,1.5,24.5,-135,115
1226,True,2008,FloridaAtlantic,CentralMichigan,24,21,62,6.5,70,7,35,5.5,250,-300
1227,True,2008,WestVirginia,NorthCarolina,31,30,44,pk,2.5,47.5,3,26,-135,115
1227,True,2008,Wisconsin,FloridaState,13,42,53,5.5,50,7,23,1.5,215,-255
1227,True,2008,MiamiFlorida,California,17,24,49.5,6,50.5,10,24,4,325,-400
1228,True,2008,NoIllinois,LouisianaTech,10,17,2,47,46,2.5,21,pk,130,-150
1229,True,2008,NCState,Rutgers,23,29,55.5,7,58,6,28.5,4.5,190,-230
1229,True,2008,Northwestern,Missouri,23,30,66,13.5,66,14,31,8.5,400,-600
1230,True,2008,Nevada,Maryland,35,42,58,pk,2,61.5,1,29,-130,110
1230,True,2008,WesternMichigan,Rice,14,38,72,3,74,2.5,1,32.5,120,-140
1230,True,2008,Oregon,OklahomaState,42,31,77,3.5,1,75,3,36,-115,-105
1231,True,2008,AirForce,HoustonU,28,34,64,3,65.5,5.5,31.5,3,175,-210
1231,True,2008,PittsburghU,OregonState,0,3,53.5,3,51,pk,22.5,pk,-110,-110
1231,True,2008,BostonCollege,Vanderbilt,14,16,4,41,4.5,40,3,20,-200,170
1231,True,2008,MinnesotaU,Kansas,21,42,57,10,58.5,9,30,3,300,-360
1231,True,2008,LSU,GeorgiaTech,38,3,49,4,53.5,4,24.5,5,160,-180
101,True,2008,Iowa,SouthCarolina,31,10,3,42.5,3.5,42,1.5,20,-170,150
101,True,2008,Clemson,Nebraska,21,26,3,55,1.5,55,23.5,0.5,-125,105
101,True,2008,MichiganState,Georgia,12,24,54,5.5,57,9.5,24,6.5,320,-400
101,True,2008,PennState,USC,24,38,45,10,44.5,10,22.5,6,325,-450
101,True,2008,VirginiaTech,CincinnatiU,20,7,41,2.5,41,2.5,21,0.5,120,-140
102,True,2008,Mississippi,TexasTech,47,34,71,6,66,4,34.5,1.5,150,-170
102,True,2008,EastCarolina,Kentucky,19,25,2.5,41,3,41,pk,21,-150,130
102,True,2008,Utah,Alabama,31,17,45,11,46.5,10,24,8,335,-425
103,True,2008,BuffaloU,Connecticut,20,38,51.5,4.5,52,4.5,26.5,9.5,220,-260
105,True,2008,OhioState,Texas,21,24,53.5,11,51.5,9,24.5,6,265,-325
106,True,2008,BallState,Tulsa,13,45,3,77,70.5,2.5,35,pk,130,-150
108,True,2008,Florida,Oklahoma,24,14,3,71.5,4,69,3,33,-175,155
1205,True,2009,Florida,Alabama,13,32,4,42.5,4.5,41,4,21,-200,170
1205,True,2009,GeorgiaTech,Clemson,39,34,57.5,pk,56.5,1,28,0.5,-102,-118
1205,True,2009,Texas,Nebraska,13,12,13,46.5,14,46,7.5,22.5,-680,515
1219,True,2009,Wyoming,FresnoState,35,28,55.5,10,54.5,10,27,7.5,330,-420
1219,True,2009,CentralFlorida,Rutgers,24,45,1,45,45,3,23.5,pk,120,-140
1220,True,2009,MiddleTennSt,SoMississippi,42,32,59,3,61.5,3.5,31,0.5,145,-165
1222,True,2009,BYU,OregonState,44,20,1.5,60,58.5,3,28,3.5,130,-150
1223,True,2009,Utah,California,37,27,54.5,3,52,2.5,26,2.5,120,-140
1224,True,2009,SMU,Nevada,45,10,73,12,69.5,11,29.5,6,350,-440
1226,True,2009,Ohio,Marshall,17,21,4.5,50.5,3,49,1.5,24,-145,125
1226,True,2009,NorthCarolina,PittsburghU,17,19,44.5,3,45.5,pk,23,pk,-105,-115
1226,True,2009,BostonCollege,USC,13,24,46.5,8,45,7.5,23.5,3.5,250,-300
1227,True,2009,Kentucky,Clemson,13,21,53,7.5,53,6.5,25.5,3,200,-250
1228,True,2009,TexasA&M,Georgia,20,44,64,6,65.5,6.5,30,0.5,205,-245
1229,True,2009,UCLA,Temple,30,21,4.5,47,4,44,4,22,-190,165
1229,True,2009,Wisconsin,MiamiFlorida,20,14,56.5,1.5,55,3.5,27,1,150,-170
1230,True,2009,BowlingGreen,Idaho,42,43,68.5,1,69.5,1,pk,34.5,-105,-115
1230,True,2009,Nebraska,ArizonaU,33,0,2,41,2,41.5,pk,19.5,-135,115
1231,True,2009,Navy,Missouri,35,13,52.5,6.5,54.5,6.5,27,4,215,-255
1231,True,2009,AirForce,HoustonU,47,20,62,5,65,4,33.5,6,158,-180
1231,True,2009,Stanford,Oklahoma,27,31,57,12,54.5,11,28,8,335,-420
1231,True,2009,IowaState,MinnesotaU,14,13,48,3,47,1.5,24,3,103,-123
1231,True,2009,TennesseeU,VirginiaTech,14,37,50.5,6,48.5,5,24,3,180,-220
101,True,2009,Northwestern,Auburn,35,38,54,8,55,8.5,27,1.5,280,-340
101,True,2009,FloridaState,WestVirginia,33,21,61,2,56.5,3,1,27,125,-145
101,True,2009,LSU,PennState,17,19,44,2.5,1.5,40.5,1,17.5,-130,110
101,True,2009,OhioState,Oregon,26,17,50.5,4,51,4.5,25,4,170,-200
101,True,2009,CincinnatiU,Florida,24,51,55.5,10.5,60,12,27,7,365,-460
102,True,2009,NoIllinois,SouthFlorida,3,27,50.5,4,49.5,6.5,23,3,220,-260
102,True,2009,Connecticut,SouthCarolina,20,7,53,7,50.5,4,23,3,165,-190
102,True,2009,Mississippi,OklahomaState,21,7,3.5,50,3.5,51,22.5,pk,-160,140
102,True,2009,Arkansas,EastCarolina,20,17,9,63.5,7.5,60,6.5,28,-290,245
102,True,2009,MichiganState,TexasTech,31,41,61,8,60,9.5,30.5,5.5,260,-320
104,True,2009,BoiseState,TCU,17,10,56,6,54.5,7,27,6.5,250,-300
105,True,2009,Iowa,GeorgiaTech,24,14,51,2.5,51,6,24,3,195,-235
106,True,2009,Troy,CentralMichigan,41,44,63.5,3.5,63.5,3.5,31.5,3,140,-160
107,True,2009,Texas,Alabama,21,37,45.5,3.5,44.5,4,19,9,155,-175
1204,True,2010,Auburn,SouthCarolina,56,17,5,61,3.5,61,31,0.5,-180,150
1204,True,2010,FloridaState,VirginiaTech,33,44,51,4.5,50.5,4.5,25.5,2,165,-195
1204,True,2010,Nebraska,Oklahoma,20,23,54,2.5,52,4.5,27,4,170,-200
1211,True,2010,Navy,Army,31,17,7.5,56.5,7.5,52.5,2.5,24,-320,260
1218,True,2010,UTEP,BYU,24,52,49,12,51,10.5,26,4,310,-380
1218,True,2010,NoIllinois,FresnoState,40,17,3,60,1.5,57,28.5,pk,-125,105
1218,True,2010,Ohio,Troy,21,48,58,1,57.5,1.5,27,2.5,100,-120
1221,True,2010,Louisville,SoMississippi,31,28,3.5,57.5,2.5,59.5,1.5,31,-140,120
1222,True,2010,Utah,BoiseState,3,26,61,17.5,57.5,16,28,9.5,550,-750
1224,True,2010,Tulsa,Hawaii,62,35,70,12,75,10.5,37,10,310,-380
1226,True,2010,FloridaIntl,Toledo,34,32,56,2.5,2.5,59,0.5,29,-130,110
1227,True,2010,GeorgiaTech,AirForce,7,14,56,2.5,55,3,24.5,2.5,125,-145
1228,True,2010,NCState,WestVirginia,23,7,48.5,2.5,50,3,24,0.5,130,-150
1228,True,2010,Missouri,Iowa,24,27,1,46.5,3,46.5,3.5,24,-150,130
1229,True,2010,EastCarolina,Maryland,20,51,69,7.5,70.5,8,31.5,3.5,270,-330
1229,True,2010,Illinois,Baylor,38,14,61.5,1.5,2.5,65.5,pk,31,-130,110
1229,True,2010,ArizonaU,OklahomaState,10,36,64.5,6,69,5,34.5,pk,170,-200
1230,True,2010,Army,SMU,16,14,52,8,50,7.5,24,7,250,-300
1230,True,2010,KansasState,Syracuse,34,36,3,47,1,48.5,pk,25,-114,103
1230,True,2010,NorthCarolina,TennesseeU,30,27,1.5,50,50,1,24.5,pk,-130,110
1230,True,2010,WashingtonU,Nebraska,19,7,52.5,13,55.5,13,24.5,7.5,390,-490
1231,True,2010,SouthFlorida,Clemson,31,26,40,4,41,5,21,3,175,-210
1231,True,2010,NotreDame,MiamiFlorida,33,17,45.5,3,48,2.5,21.5,3,115,-135
1231,True,2010,CentralFlorida,Georgia,10,6,54,7,53.5,6.5,23.5,3.5,210,-250
1231,True,2010,FloridaState,SouthCarolina,26,17,54,3,55,3,24,3.5,120,-140
101,True,2010,Northwestern,TexasTech,38,45,59.5,9.5,63,7.5,30.5,4.5,250,-300
101,True,2010,PennState,Florida,24,37,47,7,47.5,7,24,4.5,210,-250
101,True,2010,MichiganState,Alabama,7,49,50.5,10.5,51,8,23.5,4,250,-300
101,True,2010,Michigan,MississippiSt,14,52,58.5,6,62,3,31.5,pk,145,-165
101,True,2010,TCU,Wisconsin,21,19,3,56.5,3,55,2,28,-150,130
101,True,2010,Connecticut,Oklahoma,20,48,56,17,54,16.5,27,10,520,-720
103,True,2010,VirginiaTech,Stanford,12,40,58,3,59,4,28.5,2.5,155,-175
104,True,2010,Arkansas,OhioState,26,31,57.5,3,58,3,1,30.5,130,-150
106,True,2010,MiddleTennSt,MiamiOhio,21,35,48,1.5,1.5,49,1,24.5,-125,105
107,True,2010,TexasA&M,LSU,24,41,49,1,48.5,2,27.5,0.5,110,-130
108,True,2010,Kentucky,PittsburghU,10,27,52.5,3,52,4.5,24,pk,165,-190
109,True,2010,BostonCollege,Nevada,13,20,55,9.5,54,8,26.5,5.5,250,-300
110,True,2010,Oregon,Auburn,19,22,74.5,3,73,pk,1,38.5,100,-120
903,True,2011,Oregon,LSU,27,40,2.5,55.5,3,54.5,4,25,-170,150
1202,True,2011,NoIllinois,Ohio,23,20,4,70,3.5,71.5,5,33.5,-170,150
1203,True,2011,Georgia,LSU,10,42,45,10,46.5,12,23,6.5,350,-450
1203,True,2011,VirginiaTech,Clemson,10,38,6.5,52.5,7,54,4,26,-280,220
1203,True,2011,MichiganState,Wisconsin,39,42,54.5,10,56,9.5,28.5,5.5,320,-400
1210,True,2011,Army,Navy,21,27,56.5,7,56,7,27.5,4,250,-300
1217,True,2011,Temple,Wyoming,37,15,7,47.5,7,51.5,3,24.5,-270,230
1217,True,2011,UtahState,Ohio,23,24,3,58,1,62,pk,28.5,-130,110
1217,True,2011,ULLafayette,SanDiegoState,32,30,60,5,60,6,29.5,4.5,190,-230
1220,True,2011,FloridaIntl,Marshall,10,20,4,50,4.5,49,3.5,24,-210,175
1221,True,2011,LouisianaTech,TCU,24,31,55.5,11,54,10,27,7,305,-375
1222,True,2011,ArizonaState,BoiseState,24,56,67,13,65.5,14.5,29.5,7,450,-600
1224,True,2011,Nevada,SouthernMiss,17,24,60,6,65,7,31,4,245,-305
1226,True,2011,NorthCarolina,Missouri,24,41,53.5,3.5,53.5,4.5,27,1,170,-200
1227,True,2011,WesternMichigan,Purdue,32,37,60,2.5,62.5,1.5,3,32,100,-120
1227,True,2011,Louisville,NCState,24,31,45.5,1.5,44,1.5,0.5,22.5,105,-125
1228,True,2011,Toledo,AirForce,42,41,3,71,3,68.5,2.5,36.5,-165,145
1228,True,2011,California,Texas,10,21,47,3,48,3,21,pk,135,-155
1229,True,2011,NotreDame,FloridaState,14,18,48,3,47,3,21,0.5,135,-155
1229,True,2011,WashingtonU,Baylor,56,67,76.5,8.5,79,8,42.5,7,260,-320
1230,True,2011,Tulsa,BYU,21,24,55.5,pk,2.5,60,0.5,28.5,-140,120
1230,True,2011,Rutgers,IowaState,27,13,2,44.5,46,2,23,3,110,-130
1230,True,2011,WakeForest,MississippiSt,17,23,48,6.5,49,7,24,3.5,230,-270
1230,True,2011,Iowa,Oklahoma,14,31,58,15.5,58,13.5,26.5,6.5,425,-550
1231,True,2011,TexasA&M,Northwestern,33,22,10,65,9.5,69,4,34,-350,290
1231,True,2011,Utah,GeorgiaTech,30,27,51,3,49,1.5,24,1.5,105,-125
1231,True,2011,UCLA,Illinois,14,20,47,3,45.5,3,21,3,130,-150
1231,True,2011,CincinnatiU,Vanderbilt,31,24,49.5,1.5,51,2,24,1.5,105,-125
1231,True,2011,Virginia,Auburn,24,43,48.5,1,49,2.5,2,27.5,120,-140
102,True,2011,PennState,HoustonU,14,30,57.5,7,56,6.5,28,4,220,-260
102,True,2011,MichiganState,Georgia,33,30,51,3,48,2,2.5,21.5,115,-135
102,True,2011,Nebraska,SouthCarolina,13,30,48,1,45,3,23.5,pk,130,-150
102,True,2011,Florida,OhioState,24,17,1,43,2.5,44,22,0.5,-140,120
102,True,2011,Wisconsin,Oregon,38,45,72,4.5,74.5,4.5,42.5,4,170,-200
102,True,2011,Stanford,OklahomaState,38,41,76,3,73.5,4.5,38,3.5,175,-210
103,True,2011,Michigan,VirginiaTech,23,20,1,51,2.5,53,25,1,-145,125
104,True,2011,WestVirginia,Clemson,70,33,60,pk,64.5,3,37,7.5,135,-155
106,True,2011,KansasState,Arkansas,16,29,64,7.5,65,9.5,31,4,290,-350
107,True,2011,SMU,PittsburghU,28,6,48.5,5.5,47.5,4,23.5,4,165,-185
108,True,2011,ArkansasState,NoIllinois,20,38,1,62,1.5,66,2.5,33,-125,105
109,True,2011,Alabama,LSU,21,0,39,1,2.5,41.5,pk,19.5,-140,120
901,True,2012,NotreDame,Navy,50,10,17,58.5,14.5,51.5,7.5,23.5,-624,501
901,True,2012,Michigan,Alabama,14,41,46,11,48.5,13,23.5,7,415,-485
1201,True,2012,Alabama,Georgia,32,28,7.5,50.5,9,49.5,5.5,23,-325,265
1201,True,2012,FloridaState,GeorgiaTech,21,15,13,63.5,15.5,59.5,7.5,27.5,-590,465
1201,True,2012,Nebraska,Wisconsin,31,70,3,49,3.5,51,3.5,24.5,-170,150
1207,True,2012,Navy,Army,17,13,7.5,57,7,55.5,4,27.5,-290,245
1215,True,2012,Nevada,ArizonaU,48,49,76,9,80,8.5,45,7,285,-345
1215,True,2012,Toledo,UtahState,15,41,57.5,10,59.5,10,28,6,335,-425
1221,True,2012,BallState,CentralFlorida,17,38,63,7.5,60,7,28.5,2.5,245,-300
1222,True,2012,EastCarolina,ULLafayette,34,43,64,5.5,69.5,6.5,37.5,3,190,-230
1222,True,2012,WashingtonU,BoiseState,26,28,46,5,44,4,23.5,2.5,165,-190
1224,True,2012,SMU,FresnoState,43,10,59.5,10.5,63,13.5,30,9,430,-560
1226,True,2012,CentralMichigan,WesternKentucky,24,21,60,6,55.5,6,27.5,3,200,-240
